City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
100,Olafsvik,IS,2021-10-09 20:43:10,64.8945,-23.7142,41.77,85,81,17.29,broken clouds
101,Bengkulu,ID,2021-10-09 20:43:10,-3.8004,102.2655,76.69,92,25,5.48,scattered clouds
102,Maragogi,BR,2021-10-09 20:39:40,-9.0122,-35.2225,75.85,75,60,7.96,broken clouds
103,Maymyo,MM,2021-10-09 20:43:11,22.0333,96.4667,66.31,93,29,1.05,scattered clouds
104,Badvel,IN,2021-10-09 20:43:11,14.75,79.05,77.72,84,100,3.42,overcast clouds
105,Airai,TL,2021-10-09 20:43:12,-8.9266,125.4092,58.75,53,96,1.77,overcast clouds
106,Kalabo,ZM,2021-10-09 20:43:12,-14.97,22.6814,84.85,21,85,1.19,overcast clouds
107,Souillac,MU,2021-10-09 20:43:13,-20.5167,57.5167,72.36,88,75,13.8,light intensity shower rain
108,Tuatapere,NZ,2021-10-09 20:43:13,-46.1333,167.6833,52.83,58,45,5.1,light rain
109,Aitape,PG,2021-10-09 20:43:13,-3.1374,142.3475,79.18,85,36,3.89,scattered clouds
110,Am Timan,TD,2021-10-09 20:43:14,11.0297,20.2827,80.62,51,100,3.71,overcast clouds
111,Emerald,AU,2021-10-09 20:42:29,-23.5333,148.1667,71.98,72,23,6.91,few clouds
112,Longyearbyen,SJ,2021-10-09 20:39:33,78.2186,15.6401,17.44,79,20,8.05,few clouds
113,Misratah,LY,2021-10-09 20:43:15,32.3754,15.0925,74.86,63,65,14.29,broken clouds
114,Tangzhai,CN,2021-10-09 20:43:15,34.4328,116.5911,62.31,89,99,12.03,light rain
115,Angola,AO,2021-10-09 20:43:16,-12.5,18.5,70.99,37,42,2.73,scattered clouds
116,Victoria,HK,2021-10-09 20:39:42,22.2855,114.1577,80.26,95,100,8.99,moderate rain
117,Kodiak,US,2021-10-09 20:40:23,57.79,-152.4072,49.51,46,90,16.11,overcast clouds
118,Coihueco,CL,2021-10-09 20:43:16,-36.6167,-71.8333,68.74,60,20,12.66,few clouds
119,Broome,US,2021-10-09 20:43:16,42.2506,-75.833,68.02,64,90,1.99,overcast clouds
120,Seoul,KR,2021-10-09 20:43:17,37.5683,126.9778,69.4,88,90,5.75,overcast clouds
121,Atikokan,CA,2021-10-09 20:43:17,48.7555,-91.6216,63.91,79,100,6.02,overcast clouds
122,Saldanha,ZA,2021-10-09 20:43:18,-33.0117,17.9442,57.25,78,0,14.92,clear sky
123,Nuqui,CO,2021-10-09 20:43:18,5.7125,-77.2708,78.01,90,99,5.97,light rain
124,Mahebourg,MU,2021-10-09 20:43:18,-20.4081,57.7,72.25,88,75,13.8,light intensity shower rain
125,Eureka,US,2021-10-09 20:43:19,40.8021,-124.1637,67.19,59,5,5.01,clear sky
126,Margate,GB,2021-10-09 20:43:19,51.3813,1.3862,55.69,72,6,5.35,clear sky
127,Port Elizabeth,ZA,2021-10-09 20:43:19,-33.918,25.5701,58.1,73,4,13.76,clear sky
128,Saint-Georges,GD,2021-10-09 20:39:12,12.0564,-61.7485,83.88,84,20,13.8,few clouds
129,Cidreira,BR,2021-10-09 20:43:20,-30.1811,-50.2056,63.75,86,100,19.42,overcast clouds
130,Pudozh,RU,2021-10-09 20:43:20,61.8099,36.5345,48.96,99,100,4.88,light rain
131,Yar-Sale,RU,2021-10-09 20:43:20,66.8333,70.8333,28.72,84,18,16.22,few clouds
