City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
110,Am Timan,TD,80.62,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
111,Emerald,AU,71.98,few clouds,-23.5333,148.1667,The Irish Village
112,Longyearbyen,SJ,17.44,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
113,Misratah,LY,74.86,broken clouds,32.3754,15.0925,فندق الماسة
116,Victoria,HK,80.26,moderate rain,22.2855,114.1577,Mini Hotel Central
117,Kodiak,US,49.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
118,Coihueco,CL,68.74,few clouds,-36.6167,-71.8333,Frutillares Coihueco
119,Broome,US,68.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
120,Seoul,KR,69.4,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
121,Atikokan,CA,63.91,overcast clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
122,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
123,Nuqui,CO,78.01,light rain,5.7125,-77.2708,Hotel Nuquimar
124,Mahebourg,MU,72.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Eureka,US,67.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
126,Margate,GB,55.69,clear sky,51.3813,1.3862,Premier Inn Margate hotel
127,Port Elizabeth,ZA,58.1,clear sky,-33.918,25.5701,39 On Nile Guest House
128,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
129,Cidreira,BR,63.75,overcast clouds,-30.1811,-50.2056,Hotel Castelo
130,Pudozh,RU,48.96,light rain,61.8099,36.5345,Guest-House na Transportnoy
131,Yar-Sale,RU,28.72,few clouds,66.8333,70.8333,Yalemd
132,Tromso,NO,46.42,light rain,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
133,Formiga,BR,70.9,broken clouds,-20.4644,-45.4264,Victor Plaza Hotel
134,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
135,Castro,BR,56.59,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
136,Sistranda,NO,56.89,overcast clouds,63.7256,8.834,Hotell Frøya
137,Matara,LK,79.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
138,Stornoway,GB,53.92,broken clouds,58.2093,-6.3865,Caladh Inn
139,Havoysund,NO,43.68,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
140,Yeppoon,AU,64.18,clear sky,-23.1333,150.7333,Villa Mar Colina
141,Zeya,RU,39.54,overcast clouds,53.75,127.2667,Kapital Inn
142,Pangai,TO,76.71,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
143,Bogorodskoye,RU,39.63,scattered clouds,56.55,37.8833,Sosnoviy Bor
144,Faanui,PF,78.3,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Puerto Madryn,AR,72.39,clear sky,-42.7692,-65.0385,Hotel Tolosa
146,Luleburgaz,TR,60.17,overcast clouds,41.4039,27.3592,alparslan rant a car
147,Zarubino,RU,64.96,overcast clouds,42.63,131.0922,"""Okean"" Baza Otdykha"
148,Vardo,NO,39.36,overcast clouds,70.3705,31.1107,Vardø Hotel AS
149,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
150,Kruisfontein,ZA,55.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
151,Turka,UA,37.26,clear sky,49.1541,23.0297,Мотель
153,San Jose,US,74.44,few clouds,37.3394,-121.895,The Westin San Jose
154,Tasiilaq,GL,33.96,clear sky,65.6145,-37.6368,The Red House
155,Fortuna,US,70.2,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
156,Bredasdorp,ZA,49.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
157,Honiara,SB,80.56,overcast clouds,-9.4333,159.95,Heritage Park Hotel
158,Coihaique,CL,62.55,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
159,Kahului,US,81.66,light rain,20.8947,-156.47,Maui Seaside Hotel
